Order_ID,Order_Date,Shipped_Date,Delivery_Date,Customer_Region,Warehouse,Product_Category,Quantity,Unit_Cost,Total_Cost,Transport_Mode,Carrier_Name,Order_Status,Delivery_Time,Delivery_On_Time,Delay_Days,Delivery_Accuracy,Delivery_Attempts,,,
ORD0001,25-12-2024,26-12-2024,31-12-2024,West,Warehouse D,Beauty,5,44.85,224.25,Rail,Shadowfax,Delivered,6,Y,0,Y,1,,,
ORD0002,03-07-2024,05-07-2024,06-07-2024,South,Warehouse B,Electronics,3,174.57,523.71,Air,BlueDart,Delivered,3,Y,0,Y,1,,,
ORD0003,13-09-2024,14-09-2024,16-09-2024,South,Warehouse D,Grocery,4,188.33,753.32,Rail,BlueDart,Delivered,3,N,2,N,1,,,1299
ORD0004,13-11-2024,14-11-2024,16-11-2024,South,Warehouse A,Beauty,5,92.07,460.35,Road,BlueDart,Delivered,3,N,1,Y,1,,,1278
ORD0005,09-11-2024,10-11-2024,12-11-2024,West,Warehouse B,Electronics,3,82.67,248.01,Air,Delhivery,Cancelled,3,Y,0,N,2,,,
ORD0006,16-09-2024,18-09-2024,21-09-2024,North,Warehouse B,Beauty,1,22.36,22.36,Air,BlueDart,Returned,5,N,2,N,2,,,
ORD0007,04-01-2024,07-01-2024,07-01-2024,West,Warehouse A,Apparel,5,53.87,269.35,Air,BlueDart,Delivered,3,Y,0,Y,1,,,
ORD0008,08-10-2024,09-10-2024,14-10-2024,North,Warehouse B,Apparel,3,182.77,548.31,Road,XpressBees,Delivered,6,N,1,Y,1,,,
ORD0009,26-11-2024,28-11-2024,29-11-2024,North,Warehouse D,Apparel,2,117.86,235.72,Rail,XpressBees,Delivered,3,N,1,Y,1,,,
ORD0010,11-08-2024,12-08-2024,14-08-2024,West,Warehouse B,Home & Kitchen,4,123.6,494.4,Air,XpressBees,Returned,3,Y,0,Y,1,,,
ORD0011,08-09-2024,09-09-2024,11-09-2024,South,Warehouse C,Apparel,5,83.85,419.25,Road,EcomExpress,Delivered,3,Y,0,Y,1,,,
ORD0012,17-12-2024,18-12-2024,22-12-2024,West,Warehouse C,Apparel,4,62.44,249.76,Rail,BlueDart,Delivered,5,Y,0,Y,1,,,
ORD0013,25-09-2024,27-09-2024,28-09-2024,North,Warehouse C,Apparel,1,47.76,47.76,Road,BlueDart,Delivered,3,Y,0,Y,1,,,
ORD0014,14-02-2024,16-02-2024,23-02-2024,North,Warehouse D,Home & Kitchen,1,125.13,125.13,Road,Shadowfax,Returned,9,N,2,Y,2,,,
ORD0015,18-06-2024,19-06-2024,23-06-2024,East,Warehouse D,Apparel,4,72.87,291.48,Rail,Shadowfax,Delivered,5,N,1,Y,1,,,
ORD0016,14-11-2024,16-11-2024,19-11-2024,East,Warehouse D,Beauty,3,116.64,349.92,Road,BlueDart,Delivered,5,N,2,N,2,,,
ORD0017,19-12-2024,20-12-2024,24-12-2024,North,Warehouse A,Home & Kitchen,3,109.32,327.96,Air,Delhivery,Delivered,5,N,2,Y,1,,,
